Name;ID;Content;Comments;Retweet;Likes
Maicol Tellin;MaicolTellin1;El gobierno nos quiere asustar para que dejemos de luchar, #sigamosconelparo no dejemos que el estado se salga con la suya #23Nparonacional;;;
DIANNE GUTIERREZ;dianne_321;"@IvanDuque DESCARADO! 
Abusivo usted... que da órdenes para que golpeen al pueblo que está mamado de su jefesito @AlvaroUribeVel.
Más respeto por la vida de los estudiantes y manifestantes #23NparoNacional #resistencia";;;
David Zamora;kDavidzch;"No es justo . 
Que la policia en ves de ser parte del pueblo se ponga en contra del pueblo. Mi familia tambuen esta pasando por lo mismo en sus aptos . #norte #fontibom #ciudadverde #23NParoNacional pic.twitter.com/BOHi7e9jJH";2;1;
#Paro23N #ColombiaRESISTE;mariana_swaggy9;"EL PARO CONTINÚA ! 
#23NParoNacional 
#ElParoDebeSeguir 
#ParoNacionalColombia";;;
Sebastián Henao;Sebasti55171196;"TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO
y es de suma gravedad. Que indignación  que el gobierno nos llene de miedo para luego quedar como el salvador. Que putas ganas de salir a marchar mañana #ElParoSigue #ParoNacionalColombia #23NParoNacional";;;2
Malopez102938;malopez102938;"¡¡¡GENIAL!!!

 @RobinsonDiazU

#23NParoNacional https://twitter.com/RobinsonDiazU/status/1197953129293271041 …";;4;12
Mila;Milatrud11;"Latin America:
Violent anti-government protests in Colombia:
-3 officers killed in bomb blast
-3 protesters killed
-Bogota under curfew

There's a wave of similar demonstrations in
Chile
Bolivia,
Ecuador
Nicaragua
 https://www.theguardian.com/world/2019/nov/23/colombian-protests-flare-again-as-looting-erupts-in-bogota … via N Fatah #23Nov #23NParoNacional";1;2;6
Dra. Pio Pio;Ten_piedad_;Genial!!! #23NParoNacional #panicoinducido #Teoriadelpanico #NoTenemosMiedo #Cacerolazo23Npic.twitter.com/fbw5vRpx8F;;6;17
Efrapotter;efrapotter;"—¿Y en tú país la policía coge ladrones?
—Ni entre 20 cogen uno

Ahhhh pero ponga estudiantes a marchar y hasta les sacan los ojos.

#teoriadelpanico
TODO ES UN MONTAJE DEL ESTADO
#23NParoNacional
pic.twitter.com/AI2oKvNwVp
#teoriadelpanico
#PanicoInducido";23;414;609
Piedad Córdoba  ???;piedadcordoba;"Ustedes creen que con 20.000 policías que hay en Bogotá más quien sabe cuántos soldados...

 ¿Y no cogieron a ninguno de los 'vándalos' que se me se 'estaban metiendo' a los conjuntos? ¿ni uno? 

No nos crean tan pendejos!! esto fue #PanicoInducido

#23NParoNacional !!!";159;1.9K;4.1K
Sofi             ????;Malp4ridoLiam;"*El gobierno creyendo que con su montaje nos van a sembrar el miedo y vamos a dejar de hacer paro*

Nosotros listos para seguir luchando por nuestro país 

#23NParoNacional pic.twitter.com/ycBqcsXbmb";2;95;176
Jorge Luis Renteria Restrepo;soluis79;Una vieja práctica registrada hasta en las películas. #23NParoNacional pic.twitter.com/kfheu3sXiO;6;117;178
Mar;almejandra02;"Dizque así se veía Chile cuando declararon toque de queda, no comamos cuentoo, noche de antorchas, marcha con ropa blanca o negra, de todo leí pero salgan! salgan! salgan! 
#ElParoApenasComienza #23NParoNacional   #Cacerolazo23Npic.twitter.com/yEwQYYTORT";7;124;331
Karent Tatiana Alfonso;KarentAlfonso;Hasta donde llega el p*to gobierno para lograr callarnos, por eso hoy más que nunca #23NParoNacional pic.twitter.com/9KNgbh59nB;22;273;822
Aziz;Aziz_NumbOne;"""Progress is impossible without change, and those who cannot change their minds cannot change anything."" - George Bernard Shaw

#WHUTOT West Ham #MMKGabAndMax Valverde #Amici19 #23NParoNacional #??????????? Pellegrini Eat Jin Talat Atilla";;;2
Jei;je1ss0n;Por favor cuidemos de ellos en las calles, ellos no entienden que pasa  ;6;388;993
No Heterosexual;sergioandresbm;Los vándalos pagados por el Estado bajándose de los camiones en mi cuadra: #23NParoNacional  ;;92;335
millerlinares;millergenuine;luego de una noche llenos de valor seguir sin miedo…;;38;72
Abeja de la Resistance  ?? ??;AAguacatera;"Lo que hace el Gobierno es de manual.

Inició la dictadura el viernes y usted no se dió cuenta. Ahora la gente aplaude a los militares en las calles. Ese truco es de manual, ojo!

Luego vendrá la desaparición de estudiantes y profesores a media noche. 

#23NParoNacional pic.twitter.com/etxc5DL16m";7;217;301
Jhoey  ?? ?? ??;Jhojitan92;Mientras el insomnio leí un artículo sobre lo sucedido en Chile y ver cómo la gente no retrocedió, ellos continuaron a pesar de la declaración de estado de emergencia y toques de queda, es el momento de seguir! Nos quitaron tanto que hasta miedo ya no tenemos #23NParoNacional;23;375;982
Alison ????;rusinwhat;"Anoche todo confirmamos que ""nos regalan miedo para vendernos seguridad"" por eso es hoy más juntos que nunca debemos estar. #23NParoNacional";5;282;599
Jesús Andrés Díaz Arrieta;AltivoxAndre;El gobierno cree que está generación es igual que las dos anteriores! Con nosotros si se van a joder nuestros padres y abuelos se queda callados, nosotros no!!! #23NParoNacional;54;518;1.4K
Alejandro Pérez;CangrejoPerez;"No soy de izquierda ni derecha, solo quiero un mejor país. Si tú quieres encasillarme por no compartir tu ideología política, ese es tu problema.

No el mío.

#23NParoNacional";7;111;296
Indignados Colombia;ManosLimpiasCo;"Primer vándalo que conocemos que se sube a una moto de la @PoliciaColombia sin ofrecer resistencia.

¿En serio nos creen tan pendejos?

Gracias a las redes sociales y los celulares quedó evidenciado el #FalsoPositivoEnBogota 

¿Quien responde? 

#23NParoNacional #Cacerolazo23N pic.twitter.com/msWmVSgQ7l";114;935;1.3K
Jonny Barco;jonnybarco;No más falsos positivos. No más falsas banderas ;1;76;180
Maria Camila;Cami_Espana;Sin miedo y en paz! ;;25;78
Biselad;biselad;Paro Nacional hoy volvemos a la calle, pero vayan preparándose para mañana que se viene el Toquerolazo de Queda! ;;24;55
La Oreja Roja;LaOrejaRoja;"En Bogotá uno de los vándalos fue atrapado por la comunidad. Al verse reducido, confesó que le habían pagado 50 mil pesos por generar miedo en unidades residenciales.

#23NParoNacional 
#teoriadelpanicohttps://www.laorejaroja.com/fue-el-toque-de-queda-un-gran-falso-positivo-todo-es-un-montaje-del-estado/ …";41;1.3K;1.4K
milAAAAA;nxshugs;SEGUIMOS;9;310;474
Andrés Trece;AndrsTrece;"Hoy... seguimos indignados. 
Por nuestros niños: #23NParoNacional pic.twitter.com/SuNjO6E8um";9;152;368
Andrés Trece;AndrsTrece;"A Duque le quedó grande el país. A Peñalosa le quedó grande la ciudad (desde hace años). A la policía le quedó grande hasta contestar el teléfono. 
¿Pero al pueblo? Las cacerolas no alcanzaban. 
#23Nov #23NParoNacional";10;317;832
Divier Padilla;DIVIERPADILLA;Mañana con más razón para protestar. Por que ESTO ES UN MONTAJE DEL ESTADO ;;46;166
UnColombianoDelComún;colombiano_del;Las estrategias anticuadas del gobierno no funcionarán con nosotros;;13;16
Sin Gracia™  ?;nacisingracia_;"Hoy la gente no amaneció con miedo. Hoy la gente amaneció más emputada que ayer.

#23NParoNacional 
TODO ES UN MONTAJE DEL ESTADO.";3;396;1.1K
Jose Salinas Ortiz;JoseSalinasOrt1;no olvidemos la razón de las manifestaciones;;32;75
Felipe Cárdenas  ??;Pizza_Sin_Pina;"Debo confesar que anoche sentí miedo, preparé mi casa y cada momento estaba pendiente del cuarto de mi hermanita por si algo pasaba...

JUGARON CON NOSOTROS HIJUEPUTAS PERO NO PARAMOS.

#23NParoNacional #23NElParoSigue pic.twitter.com/4Fc6kFAxYI";22;353;552
Duber;uribeduber;Nuestros honorables policías colaborando con saqueos ;6;61;69
Esteban;in_mundofeliz;"La noche de ayer en Bogotá fue un homenaje al capítulo del Coco de los Simpson. 

#23NParoNacional";;65;249
Andrea  ??;LaRabicortica;Nosotros dizque esperando que los vándalos entraran a nuestra casa y resulta que se nos metieron fue en la casa de Nariño ;6;216;639
El injusticias;FilosofaUribis1;"teoria del panico ya había una senadora, que sabía lo que iba pasar. 
Será que alias el patriota la informo?
#23NParoNacional pic.twitter.com/KOEF86fCeW";2;31;74
Gabriel Ramón;Cosmecastell;Bogotá hoy amanece con 5 tendencias que demuestran que no nos tragamos el montaje. ;8;232;437
