Name;ID;Content;Comments;Retweet;Likes
teleSUR English;telesurenglish;"#Colombia | Workers and students called a national strike to protest against the government of #IvanDuque.

#21NSomosTodos #MarchaEnPaz #ParoNacionalpic.twitter.com/q9V0pJfHkI";7;391;663
Jimmy;JimmyPsicol;"@AlvaroUribeVel : nadie le come ya.
#21NSomosTodos 
#MarchaenPaz 
#ParoNacional 
#FelizJuevespic.twitter.com/xok2CEAo0t";7;197;553
Maisa Patiño;FallenMaisa;"Today is the day.
To show we're more bustling together than the days the Colombia National Football Team plays. 
To be proud of our territory, the rights for all and the Mother Earth. 
Get out and march, because the fear only exist in the State minds'. 
#21NSomosTodos";1;6;25
????|21N-22N-23N|  ????;aterribleesight;"TODAY IS AN HISTORICAL DAY FOR COLOMBIA, FINALLY WE'RE SHOWING THE GOVERNMENT THAT WE'RE NOT GONNA KEEP BELIEVING THEIR SHIT
WE ARE STRONGER TOGETHER, WE CAN MAKE THE CHANGE NOW! 
#21NSomosTodos";;4;26
Sunset Nivaris  ??;SunsetNiva;President? MY ASS! I support the Colombian protests! #21NSomosTodos #ParoNacional21Nov #paronacional pic.twitter.com/TTecqpZu7l;5;28;164
Raúl Velásquez Pinto;raulpinve;Calle 80 #21NSomosTodos pic.twitter.com/AKv7QScVj6;;1;21
MAR  ???  ???? #TodosSomosDylan | oracle of daegu;raconteurmin;"#21NSomosTodos  #21Nov 
Students walking toward Universidad Nacional with a Wiphala.pic.twitter.com/a8lq7twf4F";;8;75
mj  ????;Igbtohara;"i just retweeted this but i feel like some of you might have my retweets off: 

For those non Spanish speakers, sorry for the spam but today Colombia is doing a national strike against the corrupt and evil government. The world needs to know. 

#21NSomosTodos";;16;32
Yulieth Mora G.;YuliethMora_;¡Boom! #YoMarcho21 | #21NSomosTodos pic.twitter.com/CGG3Zxkm4m;2;129;454
BCELORS/EVcv;BCELORS;"Civilians were attacked during the protest

Retweet now .
#21NSomosTodos #21Nov #ParoNacional #paro21denoviembrepic.twitter.com/AsbnkwvGCS";2;54;53
juliana;jjkthug;Colombia without violence is a really beautiful concept. Let’s keep it up. #21NSomosTodos;1;50;127
teleSUR English;telesurenglish;"#Colombia's main organizations of workers and students reject #IvanDuque’s neoliberal policy package, which seeks to eliminate the state-based pension fund, increase the retirement age and hire young people with salaries below the minimum wage.
#21NSomosTodos #ParoNacionalpic.twitter.com/UTsUXEeftb";48;1.4K;1.7K
?????? ????  ????;lovetocalle;I can't be more proud to be Colombian. Fight for my country, to stop corruption and what comes with it. Let's fight for Colombia.  #21NSomosTodos;1;46;140
Karen  ????;RojasKarenD;"A day the world will remember, where we Colombians stand as one, stand for our rights and shout STOP, we don’t want this mierdero anymore, we deserve better, we want better.
No más hijueputas con sus hijueputeces! 


#21N
#21NSomosTodos
#YoParoEl21NSinMiedo";4;64;211
La Paz, Dijo Colombianito. ??  ????  ??;LaPazColombiani;"¡Australia!
#ParoNacional21Nov 
#21NSomosTodos pic.twitter.com/UySnmZsjBF";19;1.2K;3.4K
EdicsonParra;parra_edicson;My research team supports the #21NSomosTodos in defence of the public funded education #universidadpublica and nature rightspic.twitter.com/SNGawEsFBw;1;7;43
Germán Cabrejo;Link73;Today's the big day. Are you ready for it?... Are WE ready for it? #21NSomosTodos;2;1;13
lully;Lullyp;"#MiAniversarioDeTwitter  Justo #Hoy21N #DiaDelParoNacional #21NSomosTodos #ParoNacional21Nov 
#YoMarcho pic.twitter.com/Zsx1CtIfdZ";1;;1
valentina merchán.;valumerchan;"Mood...

#Marcha21DeNoviembre 
#21NSomosTodos
#Jovenesxcolpic.twitter.com/iIZWQNjVFh";1;15;62
Johan Briceño Coca;JSebastian_Bc;"Ready!
#21NSomosTodos #21Novpic.twitter.com/Hi9PPl9ZkN";;;4
// Alej // ????;yflowerufeast;"For those non Spanish speakers, sorry for the spam but today Colombia is doing a national strike against the corrupt and evil government. The world needs to know. 

#21NSomosTodos";9;164;326
